# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	975305
#@/user_id	config_yamls
a 	啊	c=4269 d=4.42228 t=975299
ban jia 	搬家	c=27 d=2.55468e-05 t=975297
ban jiang 	頒獎	c=2 d=3.73303e-173 t=975297
ban jie 	半截	c=7 d=5.72358e-54 t=975297
ban jin 	搬進	c=2 d=1.49302e-33 t=975297
ban jin qu 	搬進去	c=4 d=1.00684e-227 t=975297
ban ju 	半句	c=0 d=0 t=975297
ban ka 	辦卡	c=11 d=1.55236e-72 t=975297
ban kai 	半開	c=1 d=0 t=975297
ban kong 	半空	c=1 d=0 t=975297
ban kuai 	板塊	c=8 d=0.540641 t=975297
ban kuai 	版塊	c=2 d=2.58862e-72 t=975297
ban kuai lun dong 	板塊輪動	c=1 d=3.51957e-98 t=975297
ban lai 	搬來	c=0 d=6.25286e-213 t=975297
ban lai ban qu 	搬來搬去	c=1 d=0 t=975297
ban lan 	斑斕	c=1 d=6.16706e-79 t=975297
ban lang 	伴郎	c=2 d=4.35495e-06 t=975297
ban le 	辦了	c=1 d=0 t=975297
ban li 	搬離	c=1 d=5.98582e-81 t=975297
ban li 	辦理	c=46 d=6.9104e-08 t=975297
ban lian dong 	版聯動	c=1 d=4.01501e-118 t=975297
ban lu 	半路	c=3 d=8.49834e-116 t=975297
ban lv 	伴侶	c=4 d=1.54955e-123 t=975297
ban ma 	斑馬	c=42 d=1.48227 t=975297
ban ma xian 	斑馬線	c=1 d=0 t=975297
ban mian 	版面	c=2 d=8.7378e-90 t=975297
ban nian 	半年	c=88 d=0.0143357 t=975297
ban nian du 	半年度	c=1 d=3.04194e-235 t=975297
ban nian hou 	半年後	c=1 d=4.13025e-98 t=975297
ban nian qian 	半年前	c=2 d=0 t=975297
ban pei 	般配	c=0 d=0 t=975297
ban qian 	搬遷	c=18 d=5.73138e-70 t=975297
ban qiao 	板橋	c=13 d=0.0026669 t=975297
ban qu 	搬去	c=2 d=1.40053e-198 t=975297
ban quan 	版權	c=4 d=4.63772e-79 t=975297
ban ri 	半日	c=2 d=3.77147e-264 t=975297
ban ru er 	半入耳	c=2 d=8.31459e-50 t=975297
ban shan yao 	半山腰	c=1 d=0 t=975297
ban shang 	半晌	c=1 d=0 t=975297
ban shang 	搬上	c=2 d=0 t=975297
ban shang qu 	搬上去	c=1 d=1.01768e-206 t=975297
ban sheng 	半生	c=2 d=3.05374e-54 t=975297
ban shi 	辦事	c=15 d=0.00158052 t=975297
ban shi er 	辦事兒	c=1 d=1.55371e-37 t=975297
ban shou 	扳手	c=1 d=1.73823e-210 t=975297
ban shu 	半熟	c=1 d=4.91549e-175 t=975297
ban si bu huo 	半死不活	c=2 d=2.21347e-83 t=975297
ban sui 	伴隨	c=5 d=1.21838e-59 t=975297
ban tian 	半天	c=116 d=7.28765e-08 t=975297
ban tiao 	半條	c=0 d=1.89088e-25 t=975297
ban tiao ming 	半條命	c=1 d=0 t=975297
ban tiao tui 	半條腿	c=1 d=1.90036e-24 t=975297
ban tong 	半桶	c=1 d=0 t=975297
ban tou ming 	半透明	c=3 d=0 t=975297
ban tui yin 	辦退隱	c=1 d=2.23315e-187 t=975297
ban tuo 	辦妥	c=2 d=0.289384 t=975297
ban wan 	辦完	c=3 d=3.38189e-11 t=975297
ban xian 	半仙	c=1 d=0 t=975297
ban xian er 	半仙兒	c=1 d=0 t=975297
ban xiao shi 	半小時	c=22 d=0.0120946 t=975297
ban yan 	扮演	c=3 d=8.11946e-197 t=975297
ban ye 	半夜	c=4 d=1.16219e-33 t=975297
ban yuan 	半圓	c=1 d=0 t=975297
ban yue 	半月	c=0 d=3.3592e-21 t=975297
ban yun 	搬運	c=8 d=1.77249e-28 t=975297
ban yun gong 	搬運工	c=5 d=1.37157e-70 t=975297
ban zhang 	辦張	c=1 d=0 t=975297
ban zheng 	辦證	c=2 d=3.11776e-113 t=975297
ban zhou 	半軸	c=1 d=0 t=975297
ban zhu ren 	班主任	c=1 d=0 t=975297
ban zhuan 	搬磚	c=40 d=4.47621e-15 t=975297
ban zhuan 	搬轉	c=12 d=2.51956e-48 t=975297
ban zhuan 	板磚	c=3 d=6.43098e-72 t=975297
ban zi 	板子	c=16 d=4.80322e-21 t=975297
ban zi 	班子	c=2 d=2.16013e-136 t=975297
ban zi dong 	半自動	c=1 d=0 t=975297
ban zou 	伴奏	c=2 d=0 t=975297
ban zou 	搬走	c=15 d=3.17053e-07 t=975297
bang 	幫	c=235 d=0.00729913 t=975297
bang 	棒	c=25 d=4.71548e-10 t=975297
bang 	榜	c=7 d=1.78588e-70 t=975297
bang 	邦	c=3 d=3.25153e-166 t=975297
bang bang 	棒棒	c=3 d=8.98801e-128 t=975297
bang bang da 	棒棒噠	c=1 d=5.48519e-171 t=975297
bang bu liao 	幫不了	c=1 d=1.65746e-209 t=975297
bang bu shang 	幫不上	c=2 d=2.16583e-268 t=975297
bang ce shi 	幫測試	c=1 d=0 t=975297
bang cha 	幫查	c=2 d=1.29526e-73 t=975297
bang cha cha 	幫查查	c=1 d=8.42408e-101 t=975297
bang cha xia 	幫查下	c=1 d=4.6775e-150 t=975297
bang cha yi xia 	幫查一下	c=1 d=6.42796e-184 t=975297
bang chen 	幫襯	c=1 d=4.31127e-132 t=975297
bang da 	邦達	c=1 d=6.96265e-271 t=975297
bang da huo 	幫大夥	c=1 d=0 t=975297
bang dan 	榜單	c=1 d=0 t=975297
bang dao 	幫到	c=5 d=4.49558e-07 t=975297
bang dao 	綁到	c=2 d=4.08903e-127 t=975297
bang dao che chang 	幫到車場	c=1 d=8.93102e-112 t=975297
bang de 	邦德	c=0 d=2.84894e-112 t=975297
bang de rui 	邦德瑞	c=1 d=2.86322e-111 t=975297
bang ding 	幫頂	c=2 d=3.41697e-191 t=975297
bang ding 	綁定	c=337 d=1.99542e-06 t=975297
bang ding guo 	綁定過	c=3 d=7.39943e-134 t=975297
bang ding hou 	綁定後	c=1 d=1.42891e-140 t=975297
bang ding jie guo 	綁定結果	c=1 d=1.80463e-298 t=975297
bang fang dong 	幫房東	c=2 d=1.45139e-59 t=975297
bang gang nou 	幫剛耨	c=1 d=0 t=975297
bang ge 	幫哥	c=1 d=4.70976e-172 t=975297
bang ge mang 	幫個忙	c=2 d=3.984e-115 t=975297
bang gei 	幫給	c=1 d=0 t=975297
bang jia 	綁架	c=2 d=3.72023e-162 t=975297
bang kan 	幫看	c=5 d=1.83943e-23 t=975297
bang kan kan 	幫看看	c=1 d=2.37447e-203 t=975297
bang kan xia 	幫看下	c=13 d=0.173774 t=975297
bang le 	幫了	c=1 d=0 t=975297
bang le 	綁了	c=1 d=1.66083e-86 t=975297
bang le wo 	幫了我	c=1 d=0 t=975297
bang man 	幫慢	c=2 d=4.91893e-278 t=975297
bang mang 	幫忙	c=138 d=0.806735 t=975297
bang mang kan kan 	幫忙看看	c=1 d=1.56273e-105 t=975297
bang mian 	幫面	c=1 d=0 t=975297
bang ni 	幫你	c=88 d=0.000667558 t=975297
bang ni me 	幫你麼	c=4 d=1.52902e-25 t=975297
bang ni men 	幫你們	c=2 d=3.60855e-127 t=975297
bang nong 	幫弄	c=1 d=1.48768e-173 t=975297
bang nong xia 	幫弄下	c=1 d=8.23595e-100 t=975297
bang pai 	幫派	c=1 d=4.41984e-248 t=975297
bang peng you 	幫朋友	c=1 d=2.29139e-137 t=975297
bang qi lai 	綁起來	c=1 d=0 t=975297
bang ren 	幫人	c=5 d=1.6178e-268 t=975297
bang shang 	幫上	c=3 d=1.29694e-147 t=975297
bang shang 	榜上	c=1 d=2.15288e-80 t=975297
bang shang 	綁上	c=1 d=3.92243e-167 t=975297
bang shen 	傍身	c=1 d=0 t=975297
bang shou 	幫手	c=3 d=0 t=975297
bang ta 	幫他	c=20 d=5.50179e-89 t=975297
bang ta 	幫她	c=2 d=0 t=975297
bang ta men 	幫他們	c=6 d=1.65564e-108 t=975297
bang tong shi 	幫同事	c=1 d=3.59824e-64 t=975297
bang wan 	傍晚	c=4 d=3.83393e-222 t=975297
bang wen xia 	幫問下	c=3 d=3.65624e-105 t=975297
bang wo 	幫我	c=168 d=0.00327971 t=975297
bang wo men 	幫我們	c=18 d=1.00062e-66 t=975297
bang yang 	榜樣	c=1 d=6.98537e-133 t=975297
bang yi qi 	幫一起	c=1 d=0 t=975297
bang yi wen 	幫易文	c=1 d=0 t=975297
bang yue 	綁約	c=1 d=0 t=975297
bang zhe 	幫着	c=37 d=4.58001e-20 t=975297
bang zhe 	綁着	c=0 d=5.704e-191 t=975297
bang zhe ni 	幫着你	c=1 d=3.51108e-99 t=975297
bang zhe ni 	綁着你	c=1 d=5.73259e-190 t=975297
bang zhu 	幫主	c=4 d=4.96471e-107 t=975297
bang zhu 	幫助	c=137 d=0.421052 t=975297
bao 	保	c=24 d=4.33393e-13 t=975297
bao 	包	c=559 d=0.0440765 t=975297
bao 	報	c=166 d=6.99959e-10 t=975297
bao 	寶	c=50 d=0.100761 t=975297
bao 	抱	c=6 d=2.70133e-44 t=975297
bao 	暴	c=11 d=9.86926e-52 t=975297
bao 	煲	c=1 d=5.95311e-46 t=975297
bao 	爆	c=1 d=4.42403e-171 t=975297
bao 	飽	c=5 d=1.21715e-194 t=975297
bao 	鮑	c=3 d=1.08624e-32 t=975297
bao an 	保安	c=4 d=3.65316e-242 t=975297
bao an 	報案	c=3 d=0 t=975297
bao an 	寶安	c=3 d=0 t=975297
bao ban 	報班	c=3 d=1.09488e-37 t=975297
bao bao 	包包	c=1 d=0 t=975297
bao bao 	寶寶	c=22 d=2.92084e-22 t=975297
bao bao 	抱抱	c=2 d=1.66916e-86 t=975297
bao bao 	飽飽	c=1 d=0 t=975297
bao bei 	報備	c=84 d=9.95521e-07 t=975297
bao bei 	寶貝	c=5 d=3.00224e-110 t=975297
bao bei er 	寶貝兒	c=1 d=1.0871e-100 t=975297
bao ben 	保本	c=6 d=4.19177e-155 t=975297
bao biao 	保鏢	c=1 d=0 t=975297
bao biao 	報表	c=22 d=3.98961e-57 t=975297
bao biao 	暴表	c=3 d=4.24419e-124 t=975297
bao bu dong 	抱不動	c=1 d=6.09265e-142 t=975297
bao bu qi 	保不齊	c=9 d=0 t=975297
bao bu zhu 	保不住	c=2 d=0 t=975297
bao cai 	包材	c=2 d=3.54758e-103 t=975297
bao cang 	爆艙	c=4 d=1.16012e-88 t=975297
bao chan 	包產	c=6 d=4.43132e-121 t=975297
bao chang 	包場	c=1 d=0 t=975297
bao chi 	保持	c=166 d=0.000177774 t=975297
bao chong 	暴衝	c=1 d=0 t=975297
bao chou 	報酬	c=3 d=0 t=975297
bao chu 	曝出	c=0 d=0 t=975297
bao chu 	爆出	c=8 d=8.16452e-27 t=975297
bao chu lai 	曝出來	c=3 d=2.47986e-67 t=975297
bao cun 	保存	c=90 d=1.09209e-07 t=975297
bao cuo 	報錯	c=124 d=0.113042 t=975297
bao da 	報答	c=1 d=0 t=975297
bao dan 	保單	c=11 d=1.78355e-13 t=975297
bao dao 	報到	c=5 d=5.37417e-107 t=975297
bao di 	保底	c=9 d=3.83872e-31 t=975297
bao di 	寶地	c=1 d=1.6911e-122 t=975297
bao dian 	寶典	c=3 d=2.2267e-153 t=975297
bao die 	暴跌	c=7 d=5.72558e-205 t=975297
bao e 	保額	c=11 d=5.2999e-13 t=975297
bao fa 	爆發	c=7 d=9.70816e-123 t=975297
bao fa shi 	爆發式	c=1 d=0 t=975297
bao fei 	保費	c=11 d=8.06536e-10 t=975297
bao fei 	報廢	c=2 d=1.29512e-13 t=975297
bao feng 	暴風	c=1 d=0 t=975297
bao fu 	包袱	c=7 d=7.07452e-47 t=975297
bao fu 	報復	c=1 d=1.94635e-70 t=975297
bao fu 	暴富	c=2 d=0 t=975297
bao gang 	寶鋼	c=1 d=0 t=975297
bao gao 	報告	c=71 d=2.5445e-09 t=975297
bao gei 	報給	c=16 d=2.93958e-09 t=975297
bao gei ta 	報給他	c=1 d=0 t=975297
bao gong 	保供	c=22 d=0.760159 t=975297
bao gong 	包工	c=1 d=0 t=975297
bao gong tou 	包工頭	c=1 d=0 t=975297
bao guan 	保管	c=4 d=1.56093e-209 t=975297
bao guang 	暴光	c=94 d=5.39612e-09 t=975297
bao guang liang 	暴光量	c=3 d=2.31595e-07 t=975297
bao guang lv 	暴光率	c=1 d=0 t=975297
bao guang zhi 	暴光值	c=1 d=0 t=975297
bao gui 	寶貴	c=9 d=4.95087e-84 t=975297
bao guo 	包裹	c=7 d=2.86352e-171 t=975297
bao han 	包含	c=39 d=3.29201e-47 t=975297
bao hao 	保號	c=1 d=2.7365e-196 t=975297
bao he 	飽和	c=27 d=2.42126e-21 t=975297
bao he du 	飽和度	c=2 d=2.53348e-54 t=975297
bao hu 	保護	c=20 d=7.28896e-16 t=975297
bao hu fei 	保護費	c=1 d=0 t=975297
bao hu hao 	保護好	c=2 d=0 t=975297
bao hu qi 	保護器	c=1 d=1.08252e-168 t=975297
bao hu tao 	保護套	c=7 d=1.16441e-26 t=975297
bao ji 	寶雞	c=1 d=0 t=975297
bao jia 	保價	c=31 d=0.677057 t=975297
bao jia 	報價	c=42 d=3.5512e-115 t=975297
bao jia dan 	報價單	c=1 d=9.14502e-214 t=975297
bao jia hu hang 	保駕護航	c=5 d=9.63027e-234 t=975297
bao jian 	保健	c=1 d=8.71171e-144 t=975297
bao jian 	包間	c=21 d=1.9885e-28 t=975297
bao jian pin 	保健品	c=1 d=2.89988e-143 t=975297
bao jiang 	寶江	c=2 d=0 t=975297
bao jiao zi 	包餃子	c=1 d=9.4418e-178 t=975297
bao jie 	保潔	c=2 d=5.29579e-140 t=975297
bao jin 	抱緊	c=0 d=7.20516e-28 t=975297
bao jin dian 	抱緊點	c=1 d=7.24128e-27 t=975297
bao jing 	報警	c=14 d=2.10788e-08 t=975297
bao jing qi 	報警器	c=13 d=1.91532e-81 t=975297
bao kang 	保康	c=1 d=0 t=975297
bao kuan 	暴款	c=2 d=0 t=975297
bao kuo 	包括	c=231 d=0.215456 t=975297
bao le 	報了	c=1 d=1.48982e-278 t=975297
bao le 	爆了	c=1 d=6.49967e-285 t=975297
bao lei 	暴雷	c=11 d=2.04658e-43 t=975297
bao li 	暴利	c=5 d=0.000216106 t=975297
bao li 	暴力	c=6 d=3.28844e-93 t=975297
bao lian chong 	抱臉蟲	c=1 d=0 t=975297
bao liang 	保量	c=1 d=1.36312e-203 t=975297
bao liao 	爆料	c=1 d=1.2936e-293 t=975297
bao liu 	保留	c=59 d=0.0285814 t=975297
bao liu zi 	保留子	c=1 d=0 t=975297
bao lu 	暴露	c=50 d=8.02098e-10 t=975297
bao lve 	暴掠	c=1 d=3.64261e-208 t=975297
bao ma 	寶馬	c=2 d=1.32635e-293 t=975297
bao man 	爆滿	c=1 d=0 t=975297
bao man 	飽滿	c=5 d=0 t=975297
bao mi 	保密	c=16 d=0.00269866 t=975297
bao mi hua 	爆米花	c=3 d=4.1028e-49 t=975297
bao ming 	保命	c=5 d=5.52972e-31 t=975297
bao ming 	包名	c=4 d=2.77254e-56 t=975297
bao ming 	報名	c=53 d=7.06489e-31 t=975297
bao ming bao ming 	報名報名	c=1 d=0 t=975297
bao ming zhong 	報名中	c=1 d=1.1792e-145 t=975297
bao ming zi 	報名字	c=1 d=1.42378e-274 t=975297
bao mu 	保姆	c=3 d=9.64269e-161 t=975297
bao ni 	保你	c=2 d=0 t=975297
bao nuan 	保暖	c=2 d=1.42096e-45 t=975297
bao peng 	爆棚	c=1 d=0 t=975297
bao pi qi 	暴脾氣	c=1 d=5.03462e-192 t=975297
bao qi lai 	包起來	c=4 d=2.51188e-159 t=975297
bao qi lai 	抱起來	c=1 d=0 t=975297
bao qian 	抱歉	c=40 d=1.30169e-11 t=975297
bao qian la 	抱歉啦	c=1 d=0 t=975297
bao qu 	抱去	c=1 d=0 t=975297
bao ren 	保人	c=1 d=0 t=975297
bao rong 	包容	c=3 d=1.17017e-84 t=975297
bao shai 	暴曬	c=2 d=2.16883e-108 t=975297
bao shang 	抱上	c=2 d=2.32656e-81 t=975297
bao shang qu 	報上去	c=5 d=1.3822e-102 t=975297
bao shou 	保守	c=16 d=2.20656e-105 t=975297
bao shui 	保稅	c=1 d=3.41093e-229 t=975297
bao shui 	報稅	c=6 d=5.21196e-70 t=975297
bao tai 	爆胎	c=3 d=5.40027e-171 t=975297
bao tou 	包頭	c=1 d=1.28748e-61 t=975297
bao tou 	暴頭	c=1 d=0 t=975297
bao tuan 	抱團	c=1 d=0 t=975297
bao wa 	抱娃	c=2 d=0 t=975297
bao wan 	包完	c=1 d=0 t=975297
bao wen 	保溫	c=4 d=4.1442e-167 t=975297
bao wen 	報文	c=1 d=7.85431e-130 t=975297
bao wen bei 	保溫杯	c=1 d=2.26921e-199 t=975297
bao xi 	報喜	c=1 d=0 t=975297
bao xia qu 	抱下去	c=1 d=0 t=975297
bao xian 	保險	c=131 d=0.891366 t=975297
bao xian 	保鮮	c=2 d=4.49074e-200 t=975297
bao xian gang 	保險槓	c=1 d=9.62239e-195 t=975297
bao xian si 	保險絲	c=2 d=9.81833e-41 t=975297
bao xiao 	報銷	c=190 d=0.000421089 t=975297
bao xiao dan zi 	報銷單子	c=1 d=0 t=975297
bao xiu 	保修	c=1 d=0 t=975297
bao xiu 	報修	c=1 d=0 t=975297
bao yang 	保養	c=32 d=2.90331e-10 t=975297
bao yang 	包養	c=1 d=9.54968e-194 t=975297
bao yi ceng 	包一層	c=2 d=1.25228e-29 t=975297
bao ying 	報應	c=1 d=1.7705e-103 t=975297
bao you 	保佑	c=4 d=8.1832e-142 t=975297
bao you 	包郵	c=24 d=4.05068e-42 t=975297
bao yu 	暴雨	c=5 d=7.68905e-27 t=975297
bao yuan 	包元	c=1 d=0 t=975297
bao yuan 	抱怨	c=12 d=5.06962e-09 t=975297
bao yue 	包月	c=3 d=2.39003e-221 t=975297
bao zang 	寶藏	c=2 d=1.37294e-258 t=975297
bao zao 	暴躁	c=1 d=0 t=975297
bao zeng 	暴增	c=2 d=0 t=975297
bao zha 	包紮	c=2 d=3.27321e-29 t=975297
bao zha 	爆炸	c=3 d=0 t=975297
bao zhang 	保障	c=40 d=6.13148e-11 t=975297
bao zhang 	暴漲	c=4 d=1.64168e-126 t=975297
bao zhe 	抱着	c=21 d=1.7567e-11 t=975297
bao zhen 	保真	c=1 d=6.28415e-65 t=975297
bao zheng 	保證	c=192 d=0.104874 t=975297
bao zheng jin 	保證金	c=2 d=0 t=975297
bao zhi 	保值	c=3 d=2.68294e-140 t=975297
bao zhi bao liang 	保質保量	c=41 d=5.50402e-35 t=975297
bao zhi lv 	保值率	c=2 d=0 t=975297
bao zhi qi 	保質期	c=1 d=0 t=975297
bao zhong 	保重	c=8 d=0.000161662 t=975297
bao zhu 	保住	c=4 d=1.82983e-79 t=975297
bao zhuang 	包裝	c=17 d=1.59907e-52 t=975297
bao zhuang dai 	包裝袋	c=1 d=2.34084e-06 t=975297
bao zhuang he 	包裝盒	c=1 d=3.82725e-84 t=975297
bao zhun 	保準	c=1 d=0 t=975297
bao zi 	包子	c=41 d=7.85774e-47 t=975297
bao zi ji 	報自己	c=1 d=0 t=975297
bao zou 	暴走	c=4 d=2.74896e-36 t=975297
bao zu 	包租	c=0 d=8.03978e-229 t=975297
bao zu po 	包租婆	c=1 d=8.08008e-228 t=975297
bei 	倍	c=25 d=1.09594e-22 t=975297
bei 	備	c=1 d=0 t=975297
bei 	北	c=13 d=2.50708e-19 t=975297
bei 	唄	c=679 d=1.01727 t=975297
bei 	盃	c=7 d=1.99522e-98 t=975297
bei 	背	c=28 d=1.27914e-14 t=975297
bei 	被	c=604 d=0.0880624 t=975297
bei 	貝	c=1 d=0 t=975297
bei an 	備案	c=78 d=6.47595e-07 t=975297
bei ban qiu 	北半球	c=4 d=2.96246e-12 t=975297
bei bang ding 	被綁定	c=1 d=5.97671e-210 t=975297
bei bao 	背包	c=0 d=2.39204e-85 t=975297
bei bei 	貝貝	c=1 d=6.19712e-49 t=975297
bei bei jia 	貝貝佳	c=1 d=6.22818e-48 t=975297
bei bi 	被逼	c=2 d=1.40329e-133 t=975297
bei bie 	被別	c=1 d=8.3429e-281 t=975297
bei bie ren 	被別人	c=1 d=1.68054e-19 t=975297
bei cha 	杯茶	c=1 d=0 t=975297
bei chen 	北辰	c=1 d=3.7413e-199 t=975297
bei chu lai 	背出來	c=1 d=0 t=975297
bei cui 	悲摧	c=6 d=1.60518e-38 t=975297
bei da 	北大	c=4 d=5.03066e-124 t=975297
bei da zi yuan 	北達資源	c=1 d=0 t=975297
bei dai he 	北戴河	c=1 d=0 t=975297
bei dao 	被盜	c=1 d=0 t=975297
bei dong 	被動	c=12 d=2.77745e-18 t=975297
bei dou 	北斗	c=1 d=4.94613e-13 t=975297
bei dui 	被懟	c=1 d=3.11862e-175 t=975297
bei fang 	北方	c=13 d=3.70266e-77 t=975297
bei fang 	被放	c=1 d=9.99668e-144 t=975297
bei fang ren 	北方人	c=2 d=2.2011e-164 t=975297
bei fen 	備份	c=76 d=1.42784e-06 t=975297
bei feng 	被封	c=8 d=1.28383e-292 t=975297
bei fu yu 	被賦予	c=1 d=4.95139e-143 t=975297
bei gai 	杯蓋	c=1 d=4.1476e-206 t=975297
bei gao 	被搞	c=2 d=6.17308e-38 t=975297
bei guan 	悲觀	c=2 d=1.17727e-67 t=975297
bei guan suo 	悲觀鎖	c=1 d=2.51546e-117 t=975297
bei guo 	北國	c=1 d=0 t=975297
bei guo 	背鍋	c=10 d=6.3432e-28 t=975297
bei guo xia 	背鍋俠	c=1 d=0 t=975297
bei hang 	北航	c=1 d=2.81956e-283 t=975297
bei hao 	備好	c=1 d=8.9996e-55 t=975297
bei hou 	背後	c=25 d=0.000997758 t=975297
bei jiao 	北窖	c=8 d=0.0101529 t=975297
bei jiao 	北郊	c=1 d=3.53951e-135 t=975297
bei jiao zhen 	北滘鎮	c=5 d=2.20656e-105 t=975297
bei jing 	北京	c=1185 d=0.0461896 t=975297
bei jing 	背景	c=238 d=0.0250892 t=975297
bei jing le 	北京了	c=2 d=1.03079e-79 t=975297
bei jing qu 	北京去	c=1 d=2.00345e-116 t=975297
bei jing se 	背景色	c=4 d=1.5411e-235 t=975297
bei jing tu 	背景圖	c=14 d=9.229e-57 t=975297
bei ju 	悲劇	c=30 d=3.0322e-21 t=975297
bei ju 	被拒	c=1 d=3.9425e-227 t=975297
bei kai 	被開	c=2 d=9.32711e-05 t=975297
bei kao 	備考	c=2 d=2.25305e-115 t=975297
bei kao 	背靠	c=2 d=2.34189e-70 t=975297
bei ke 	貝殼	c=1 d=0 t=975297
bei lai 	北來	c=1 d=0 t=975297
bei lian xu 	被連續	c=1 d=0 t=975297
bei mei 	北美	c=1 d=1.85357e-113 t=975297
bei men 	北門	c=2 d=5.06913e-96 t=975297
bei mian 	背面	c=1 d=1.92123e-123 t=975297
bei mian 	被面	c=1 d=1.57876e-78 t=975297
bei ni 	被你	c=12 d=6.76689e-25 t=975297
bei ni jie 	被你姐	c=1 d=0 t=975297
bei ni men 	唄你們	c=1 d=0 t=975297
bei pen 	被噴	c=4 d=3.84787e-59 t=975297
bei piao 	北漂	c=4 d=1.96263e-21 t=975297
bei po 	被迫	c=4 d=0 t=975297
bei qi 	備齊	c=2 d=0 t=975297
bei qi ta 	被其他	c=1 d=1.58268e-19 t=975297
bei ren 	被人	c=6 d=8.51102e-16 t=975297
bei shang 	北上	c=3 d=1.14833e-128 t=975297
bei shang 	悲傷	c=1 d=1.4602e-42 t=975297
bei shang 	杯上	c=1 d=1.41705e-42 t=975297
bei shang 	背上	c=8 d=6.32231e-48 t=975297
bei shang guang 	北上廣	c=1 d=1.15408e-127 t=975297
bei shei 	被誰	c=1 d=0 t=975297
bei shen he 	被審覈	c=1 d=2.05465e-60 t=975297
bei shi da 	北師大	c=3 d=1.52099e-110 t=975297
bei shu 	倍數	c=1 d=7.63485e-32 t=975297
bei shu 	背書	c=1 d=0 t=975297
bei shui 	杯水	c=1 d=0 t=975297
bei shuo cheng 	被說成	c=1 d=0 t=975297
bei si 	貝斯	c=0 d=0 t=975297
bei song 	背誦	c=1 d=4.9901e-117 t=975297
bei su 	倍速	c=1 d=1.45871e-30 t=975297
bei ta 	被他	c=3 d=2.23662e-29 t=975297
bei tai 	備胎	c=7 d=9.51523e-34 t=975297
bei tao 	被套	c=9 d=3.24687e-61 t=975297
bei tuo 	備妥	c=1 d=2.13023e-132 t=975297
bei wo 	被我	c=10 d=1.68432e-16 t=975297
bei wo 	被窩	c=11 d=9.1124e-172 t=975297
bei wo li 	被窩裏	c=2 d=0 t=975297
bei xin 	背心	c=1 d=6.35777e-290 t=975297
bei xuan 	備選	c=5 d=1.7661e-15 t=975297
bei xuan xiang mu 	備選項目	c=1 d=0 t=975297
bei yi ge 	被一個	c=1 d=2.03492e-211 t=975297
bei yong 	備用	c=8 d=7.37625e-10 t=975297
bei yong 	被用	c=1 d=1.11546e-197 t=975297
bei yong ji 	備用機	c=1 d=7.41323e-09 t=975297
bei yong jin 	備用金	c=3 d=2.41513e-248 t=975297
bei yong liu 	備用流	c=4 d=0 t=975297
bei you 	北郵	c=2 d=4.24691e-269 t=975297
bei you hua 	被優化	c=1 d=1.25268e-209 t=975297
bei yuan 	北苑	c=27 d=1.16027e-59 t=975297
bei yun 	備孕	c=6 d=2.33364e-250 t=975297
bei zai 	背在	c=1 d=0 t=975297
bei zhan 	北站	c=4 d=0 t=975297
bei zhan yong 	被佔用	c=1 d=0 t=975297
bei zhe 	備着	c=1 d=0 t=975297
bei zhe 	背着	c=1 d=0 t=975297
bei zhe dang 	被遮擋	c=1 d=0 t=975297
bei zhu 	備註	c=62 d=0.795351 t=975297
bei zhua 	被抓	c=1 d=1.15956e-212 t=975297
bei zi 	杯子	c=20 d=1.14283e-100 t=975297
bei zi 	被子	c=7 d=2.41158e-100 t=975297
bei zi 	輩子	c=1 d=1.84891e-54 t=975297
bei zou 	被走	c=1 d=9.6355e-211 t=975297
ben 	奔	c=2 d=1.3138e-05 t=975297
ben 	本	c=71 d=3.9489e-12 t=975297
ben 	笨	c=7 d=6.01882e-71 t=975297
ben ben 	本本	c=10 d=3.00509e-33 t=975297
ben bo 	奔波	c=4 d=4.72095e-53 t=975297
ben bu 	本埠	c=1 d=0 t=975297
ben chang 	本廠	c=1 d=2.78836e-211 t=975297
ben chi 	奔馳	c=7 d=3.65014e-56 t=975297
ben chuang 	本闖	c=1 d=0 t=975297
ben ci 	本次	c=33 d=0.00222046 t=975297
ben di 	本地	c=421 d=0.000437432 t=975297
ben di hua 	本地化	c=2 d=7.15884e-245 t=975297
ben di ku 	本地庫	c=1 d=0 t=975297
ben di pao 	本地跑	c=1 d=5.10007e-50 t=975297
ben di ren 	本地人	c=8 d=2.68934e-168 t=975297
ben di tu 	本地圖	c=5 d=8.39213e-262 t=975297
ben du 	本度	c=1 d=3.51493e-200 t=975297
ben fen 	本分	c=1 d=1.60268e-196 t=975297
ben gai 	本該	c=1 d=0 t=975297
ben hang 	本行	c=1 d=6.52019e-87 t=975297
ben he tong 	本合同	c=2 d=0 t=975297
ben ji 	本機	c=7 d=1.3518e-150 t=975297
ben ji du 	本季度	c=3 d=6.46143e-10 t=975297
ben jie 	本屆	c=1 d=8.69802e-07 t=975297
ben jin 	本金	c=30 d=3.23463e-97 t=975297
ben jing 	本經	c=1 d=4.23022e-144 t=975297
ben jiu shi 	本就是	c=1 d=0 t=975297
ben ke 	本科	c=22 d=0.000137073 t=975297
ben lai 	本來	c=330 d=0.271173 t=975297
ben lai ba 	本來吧	c=1 d=0 t=975297
ben lai jiu bu duo 	本來就不多	c=1 d=0 t=975297
ben lai jiu bu za xing 	本來就不咋行	c=1 d=3.8563e-261 t=975297
